sample_id,treatment,cohort,organ,model_class_raw,clr_value,analysis_eligible,detected_animals,total_class_count,eligibility_rule,pseudocount_applied,phenotype_display,pseudocount
m26-012,Allulose,NPY,Kidney,Muscle Cell,-1.6102069089951065,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-013,Allulose,POMC,Kidney,Muscle Cell,-1.2791562177560234,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-014,Allulose,NPY,Kidney,Muscle Cell,-1.4642830775419338,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-015,Water,POMC,Kidney,Muscle Cell,-1.4018223650429436,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-016,Water,POMC,Kidney,Muscle Cell,-1.1467729977927177,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-017,Water,POMC,Kidney,Muscle Cell,-1.2185811764206629,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-018,Water,POMC,Kidney,Muscle Cell,-2.280549770015324,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-019,Water,NPY,Kidney,Muscle Cell,-0.8940146843926922,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-020,Water,NPY,Kidney,Muscle Cell,-0.40346230511141545,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-021,Water,NPY,Kidney,Muscle Cell,-1.145090987232718,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-022,Allulose,POMC,Kidney,Muscle Cell,-1.4066314890266218,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-023,Sucrose,POMC,Kidney,Muscle Cell,-1.1181079186118907,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-024,Sucrose,POMC,Kidney,Muscle Cell,1.6163883481238572,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,True,Muscle-like,0.5
m26-001,Sucrose,NPY,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-002,Sucrose,NPY,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-003,Sucrose,POMC,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-004,Sucrose,NPY,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-005,Sucrose,POMC,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-006,Sucrose,POMC,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-007,Sucrose,POMC,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
m26-008,Allulose,POMC,Kidney,Endothelial Cell,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,False,Endothelial-like,0.5
