analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,endpoint,endpoint_label,value,analysis_unit
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.2542372881355932,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.13341493268053856,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.07221542227662178,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.01835985312117503,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",4.982275597357746,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,15.0,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.011111111111111112,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.2,acquisition
