analysis_unit_id,acquisition_id,marker,roi_label,roi_area_px,assigned_nucleus,best_overlap_px,roi_overlap_fraction,accepted,reason,marker_display,dapi_area_reference_n,dapi_area_quantile,dapi_area_threshold_px,dapi_area_median_px,size_filter_pass,likely_noncell_by_size,dapi_expansion_px
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,164,398,2482,347,0.871859296482412,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,165,468,0,164,0.3504273504273504,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,166,382,2522,338,0.8848167539267016,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,167,468,2524,468,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,168,355,2529,355,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,169,516,2539,447,0.8662790697674418,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,170,547,2551,483,0.8829981718464351,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,171,523,2555,482,0.9216061185468452,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,172,111,2554,111,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,173,381,2564,364,0.9553805774278216,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,174,376,2572,376,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,175,1014,2573,502,0.49506903353057197,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,176,484,2595,451,0.9318181818181818,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,177,479,2603,403,0.8413361169102297,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,178,675,2614,575,0.8518518518518519,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,179,658,2620,523,0.7948328267477204,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,180,196,2633,172,0.8775510204081632,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,181,514,2645,484,0.9416342412451362,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,182,279,2667,216,0.7741935483870968,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,183,337,2674,227,0.6735905044510386,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,184,316,2685,153,0.48417721518987344,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,185,527,2715,439,0.8330170777988615,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,186,253,2719,171,0.6758893280632411,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,187,464,2757,364,0.7844827586206896,True,accepted_strict_direct_overlap,,,,,,,,
