animal_order,animal_id,sample_id,condition,condition_order,experimental_unit,field_count,endpoint,endpoint_label,radial_shell,shell_dapi_quantile_start,shell_dapi_quantile_end,shell_dapi_nuclei,shell_positive_nuclei,occurrence_rate,occurrence_percent,arcsin_sqrt_occurrence,shell_inner_whitened_radius,shell_outer_whitened_radius,inference_role
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,540,16,0.0296296296296,2.96296296296,0.172994168507,0.050334047985,0.871020767146,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,540,16,0.0296296296296,2.96296296296,0.172994168507,0.871020767146,1.176581952,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,540,16,0.0296296296296,2.96296296296,0.172994168507,1.176581952,1.3744327344,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,540,12,0.0222222222222,2.22222222222,0.14962890936,1.3744327344,1.59252330513,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,540,8,0.0148148148148,1.48148148148,0.122018678935,1.59252330513,1.77668104095,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,541,13,0.0240295748614,2.40295748614,0.155642390803,1.77668104095,2.63447246368,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,540,4,0.00740740740741,0.740740740741,0.0861729070214,0.050334047985,0.871020767146,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,540,6,0.0111111111111,1.11111111111,0.10560544018,0.871020767146,1.176581952,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,540,9,0.0166666666667,1.66666666667,0.129460771003,1.176581952,1.3744327344,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,540,0,0,0,0,1.3744327344,1.59252330513,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,540,0,0,0,0,1.59252330513,1.77668104095,one component of one animal-level six-shell vector
5,E7_FR7-5,e7-fr7-5,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,541,0,0,0,0,1.77668104095,2.63447246368,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,386,6,0.0155440414508,1.55440414508,0.12500101981,0.0914143451091,0.794620755597,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,386,9,0.0233160621762,2.33160621762,0.153295671387,0.794620755597,1.09046098126,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,3,0.333333333333,0.5,386,3,0.00777202072539,0.777202072539,0.0882736618341,1.09046098126,1.36254002601,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,4,0.5,0.666666666667,386,8,0.020725388601,2.0725388601,0.144465128087,1.36254002601,1.60501545932,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,386,4,0.0103626943005,1.03626943005,0.101973960422,1.60501545932,1.81000760763,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,386,3,0.00777202072539,0.777202072539,0.0882736618341,1.81000760763,2.54399346747,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,386,3,0.00777202072539,0.777202072539,0.0882736618341,0.0914143451091,0.794620755597,one component of one animal-level six-shell vector
6,E9_FR8-1,e9-fr8-1,Sucrose,2,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,386,2,0.00518134715026,0.518134715026,0.0720438807115,0.794620755597,1.09046098126,one component of one animal-level six-shell vector
