field,pomc_label,region_code,region,area_px,centroid_y,centroid_x,dapi_reference_n,mean_dapi_area_px,minimum_pomc_area_px,excluded_small,decision
FR6-1_S02_right,12,1,ARC,155,400.8,111.72258064516129,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,13,0,OUTSIDE_DELINEATED_REGIONS,271,404.54243542435427,651.4428044280443,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,14,1,ARC,177,411.5875706214689,287.3502824858757,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,15,1,ARC,168,416.4583333333333,319.35714285714283,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,16,0,OUTSIDE_DELINEATED_REGIONS,188,436.29787234042556,605.813829787234,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,17,1,ARC,181,438.76243093922653,467.707182320442,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,18,1,ARC,32,451.71875,262.78125,713,94.2945301542777,94.2945301542777,True,exclude_below_local_dapi_mean
FR6-1_S02_right,19,1,ARC,223,472.7219730941704,229.51121076233184,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,20,1,ARC,184,477.2119565217391,251.9945652173913,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,21,1,ARC,131,475.3206106870229,419.08396946564886,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,22,1,ARC,111,482.39639639639637,316.036036036036,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,23,2,ME,126,521.2222222222222,85.46825396825396,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,24,1,ARC,163,526.0674846625767,215.70552147239263,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,25,1,ARC,219,530.3013698630137,230.82191780821918,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,26,1,ARC,157,544.8662420382166,256.7643312101911,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,27,2,ME,117,558.8205128205128,86.35897435897436,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,28,2,ME,224,581.09375,113.48214285714286,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,29,0,OUTSIDE_DELINEATED_REGIONS,260,581.5461538461539,212.15,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,30,2,ME,209,584.9617224880383,22.880382775119617,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,31,1,ARC,123,422.5853658536585,292.3658536585366,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,32,1,ARC,166,423.6024096385542,345.09638554216866,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,33,1,ARC,140,418.92857142857144,370.55,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,34,0,OUTSIDE_DELINEATED_REGIONS,271,351.3247232472325,484.71955719557195,1094,104.85831809872029,104.85831809872029,False,retain
FR6-1_S02_right,35,1,ARC,173,421.3872832369942,169.13294797687863,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,36,1,ARC,161,483.2919254658385,180.11180124223603,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,37,2,ME,118,543.8474576271186,13.169491525423728,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,38,1,ARC,234,292.3119658119658,89.2008547008547,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,39,1,ARC,144,382.47222222222223,239.55555555555554,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,40,1,ARC,155,337.73548387096776,112.86451612903225,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,41,1,ARC,129,319.8759689922481,196.57364341085272,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,42,1,ARC,244,529.2745901639345,354.9672131147541,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,43,1,ARC,225,128.05333333333334,212.78666666666666,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S02_right,44,2,ME,134,572.7089552238806,135.36567164179104,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,45,2,ME,168,591.5059523809524,129.96428571428572,182,104.88461538461539,104.88461538461539,False,retain
FR6-1_S02_right,46,1,ARC,62,469.38709677419354,201.5,713,94.2945301542777,94.2945301542777,True,exclude_below_local_dapi_mean
FR6-1_S02_right,47,1,ARC,94,460.7659574468085,207.18085106382978,713,94.2945301542777,94.2945301542777,True,exclude_below_local_dapi_mean
FR6-1_S02_right,48,1,ARC,261,281.62835249042143,218.6934865900383,713,94.2945301542777,94.2945301542777,False,retain
FR6-1_S03_left,1,1,ARC,163,158.2883435582822,729.3128834355829,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,2,1,ARC,169,169.02958579881656,614.9763313609468,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,3,0,OUTSIDE_DELINEATED_REGIONS,142,191.18309859154928,113.35211267605634,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,4,1,ARC,102,240.72549019607843,582.3627450980392,735,110.67891156462585,110.67891156462585,True,exclude_below_local_dapi_mean
FR6-1_S03_left,5,1,ARC,155,246.3483870967742,745.1161290322581,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,6,1,ARC,210,254.3,829.7761904761904,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,7,0,OUTSIDE_DELINEATED_REGIONS,207,253.1497584541063,147.44444444444446,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,8,0,OUTSIDE_DELINEATED_REGIONS,226,267.8362831858407,154.78318584070797,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,9,0,OUTSIDE_DELINEATED_REGIONS,327,271.73394495412845,324.40672782874617,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,10,1,ARC,162,275.9691358024691,745.0987654320987,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,11,1,ARC,144,281.5763888888889,772.1597222222222,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,12,1,ARC,101,285.0792079207921,667.940594059406,735,110.67891156462585,110.67891156462585,True,exclude_below_local_dapi_mean
FR6-1_S03_left,13,0,OUTSIDE_DELINEATED_REGIONS,97,286.17525773195877,221.17525773195877,546,125.3040293040293,125.3040293040293,True,exclude_below_local_dapi_mean
FR6-1_S03_left,14,1,ARC,218,292.2201834862385,428.36238532110093,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,15,1,ARC,149,293.02013422818794,401.16107382550337,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,16,1,ARC,234,295.46581196581195,387.63675213675214,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,17,1,ARC,154,296.512987012987,664.2012987012987,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,18,0,OUTSIDE_DELINEATED_REGIONS,97,304.17525773195877,21.443298969072163,546,125.3040293040293,125.3040293040293,True,exclude_below_local_dapi_mean
FR6-1_S03_left,19,0,OUTSIDE_DELINEATED_REGIONS,84,312.35714285714283,331.32142857142856,546,125.3040293040293,125.3040293040293,True,exclude_below_local_dapi_mean
FR6-1_S03_left,20,1,ARC,139,314.41007194244605,682.9640287769785,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,21,1,ARC,223,321.4663677130045,426.31390134529147,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,22,0,OUTSIDE_DELINEATED_REGIONS,140,340.6928571428571,279.5285714285714,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,23,0,OUTSIDE_DELINEATED_REGIONS,82,353.2439024390244,191.70731707317074,546,125.3040293040293,125.3040293040293,True,exclude_below_local_dapi_mean
FR6-1_S03_left,24,0,OUTSIDE_DELINEATED_REGIONS,100,356.82,21.16,546,125.3040293040293,125.3040293040293,True,exclude_below_local_dapi_mean
FR6-1_S03_left,25,1,ARC,105,373.32380952380953,574.952380952381,735,110.67891156462585,110.67891156462585,True,exclude_below_local_dapi_mean
FR6-1_S03_left,26,1,ARC,196,377.3520408163265,452.10714285714283,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,27,1,ARC,112,377.70535714285717,734.0,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,28,1,ARC,140,394.23571428571427,602.2214285714285,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,29,1,ARC,133,397.4736842105263,499.94736842105266,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,30,1,ARC,162,404.48765432098764,537.3333333333334,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,31,1,ARC,165,412.0060606060606,675.290909090909,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,32,1,ARC,266,419.63157894736844,430.94736842105266,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,33,1,ARC,201,429.6318407960199,654.363184079602,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,34,1,ARC,176,431.3693181818182,473.96022727272725,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,35,1,ARC,152,456.1644736842105,569.828947368421,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,36,0,OUTSIDE_DELINEATED_REGIONS,300,205.66666666666666,446.06333333333333,546,125.3040293040293,125.3040293040293,False,retain
FR6-1_S03_left,37,1,ARC,287,150.52961672473867,807.2439024390244,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,38,1,ARC,89,359.2247191011236,541.7977528089888,735,110.67891156462585,110.67891156462585,True,exclude_below_local_dapi_mean
FR6-1_S03_left,39,1,ARC,178,325.76404494382024,564.814606741573,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,40,1,ARC,219,309.2922374429224,574.054794520548,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,41,1,ARC,219,327.7808219178082,478.7671232876712,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_left,42,1,ARC,205,154.80975609756098,559.9365853658536,735,110.67891156462585,110.67891156462585,False,retain
FR6-1_S03_right,1,0,OUTSIDE_DELINEATED_REGIONS,229,262.0655021834061,677.4061135371179,587,104.47529812606473,104.47529812606473,False,retain
FR6-1_S03_right,2,1,ARC,226,270.95575221238937,325.87168141592923,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,3,1,ARC,185,289.9891891891892,315.33513513513515,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,4,1,ARC,266,344.44736842105266,764.5300751879699,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,5,1,ARC,177,345.6666666666667,698.1864406779661,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,6,1,ARC,185,353.8162162162162,379.77837837837836,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,7,1,ARC,190,369.5315789473684,386.9,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,8,1,ARC,284,368.1056338028169,710.6760563380282,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,9,1,ARC,189,380.7566137566138,765.9312169312169,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,10,1,ARC,374,398.41711229946526,321.2566844919786,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,11,1,ARC,307,392.28338762214986,576.8599348534202,644,109.82453416149069,109.82453416149069,False,retain
FR6-1_S03_right,12,1,ARC,65,391.5846153846154,300.81538461538463,644,109.82453416149069,109.82453416149069,True,exclude_below_local_dapi_mean
